Estado,População,UF
Acre,830018,AC
Alagoas,3127683,AL
Amapá,733759,AP
Amazonas,3941613,AM
Bahia,14141626,BA
Ceará,8794957,CE
Distrito Federal,2817381,DF
Espírito Santo,3833712,ES
Goiás,7056495,GO
Maranhão,6776699,MA
Mato Grosso,3658649,MT
Mato Grosso do Sul,2757013,MS
Minas Gerais,20539989,MG
Paraná,11444380,PR
Paraíba,3974687,PB
Pará,8120131,PA
Pernambuco,9058931,PE
Piauí,3271199,PI
Rio Grande do Norte,3302729,RN
Rio Grande do Sul,10882965,RS
Rio de Janeiro,16055174,RJ
Rondônia,1581196,RO
Roraima,636707,RR
Santa Catarina,7610361,SC
Sergipe,2210004,SE
São Paulo,44411238,SP
Tocantins,1511460,TO
